Martin Guptill,1,0,0, 7.14 
Henry Nicholls,28,2,0, 54.90 
Kane Williamson,67,6,0, 70.53 
Ross Taylor,74,3,1, 82.22 
James Neesham,12,1,0, 66.67 
Colin de Grandhomme,16,2,0, 160.00 
Tom Latham,10,0,0, 90.91 
Mitchell Santner,9,1,0, 150.00 
Matt Henry,1,0,0, 50.00 
Trent Boult,3,0,0, 100.00 
Lokesh Rahul,1,0,0, 14.29 
Rohit Sharma,1,0,0, 25.00 
Virat Kohli,1,0,0, 16.67 
Rishabh Pant,32,4,0, 57.14 
Dinesh Karthik,6,1,0, 24.00 
Hardik Pandya,32,2,0, 51.61 
MS Dhoni,50,1,1, 69.44 
Ravindra Jadeja,77,4,4, 130.51 
Bhuvneshwar Kumar,0,0,0, 0.00 
Yuzvendra Chahal,5,1,0, 100.00 
Jasprit Bumrah,0,0,0, 0.00 
